fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.103,other,,,,,,,,,,0.59,4,2,4,4,4,,0,297588,1468,406606,4433519,235,1296,936,8,,111,65,0,,199,2176065,535718,477592,2023-10-17,https://covidactnow.org/us/alaska-ak,0.732,0.653,0,1328221,3,237614,0.325,,,,,,,,,,0.006,,25,,3.4,,0,103619,0.142
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,,other,,,,,,,,,,0.78,4,4,4,4,4,,1,1659936,21138,1290946,8067491,404,13019,9562,45,,1503,1175,26,,1297,12349530,3193141,2611593,2023-10-17,https://covidactnow.org/us/alabama-al,0.651,0.533,1,7018011,4,1042014,0.213,,,,,,,,,,0.003,,223,,4.5,,0,376516,0.077
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.114,other,,,,,,,,,,0.72,4,2,4,4,4,,1,995043,13115,593249,4889310,790,7493,5147,44,,865,625,20,,657,8373210,2115165,1720209,2023-10-17,https://covidactnow.org/us/arkansas-ar,0.701,0.57,0,4874091,3,768625,0.255,,,,,,,,,,0.006,,146,,4.8,,0,330572,0.11
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.293,other,,,,,,,,,,0.63,4,3,4,4,4,,0,2474154,33451,2241186,14155000,396,13990,10517,279,,1495,949,27,,2608,19959120,5704677,4821350,2023-10-17,https://covidactnow.org/us/arizona-az,0.784,0.662,34,14647405,3,2418342,0.332,,,,,,,,,,0.02,,351,,4.8,,0,1147905,0.158
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.066,other,,,,,,,,,,0.71,4,1,4,4,4,,1,12251820,101886,12061710,164041555,10600,59312,45004,1191,,6343,4480,179,,9186,121107865,33613401,29588939,2023-10-17,https://covidactnow.org/us/california-ca,0.851,0.749,109,88487852,1,17459544,0.442,,,,,,,,,,0.02,,1910,,4.8,,0,8114063,0.205
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,,other,,,,,,,,,,0.57,4,4,4,4,4,,0,1783663,14385,1790075,17501601,1300,10361,6399,143,,1262,721,35,,1199,17769135,4837792,4248431,2023-10-17,https://covidactnow.org/us/colorado-co,0.84,0.738,14,13033446,4,2460212,0.427,,,,,,,,,,0.014,,325,,5.6,,0,1268501,0.22
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,,other,,,,,,,,,,0.69,4,4,4,4,4,,0,982335,12337,1104258,15656219,860,7606,5683,222,,872,598,25,,388,11881825,3670090,2967081,2023-10-17,https://covidactnow.org/us/connecticut-ct,0.95,0.832,3,9040989,4,1652627,0.464,,,,,,,,,,0.029,,233,,6.5,,0,911056,0.256
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.066,other,,,,,,,,,,0.74,4,1,4,4,4,,1,178904,1435,292211,5608107,268,2962,2238,3,,346,255,9,,75,,,,2023-10-17,https://covidactnow.org/us/district_of_columbia-dc,,,1,,1,,,,,,,,,,,,0.001,,51,,7.2,,0,,
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.0,other,,,,,,,,,,0.71,4,0,4,4,4,,1,333772,3394,363691,3881617,211,2509,1968,52,,177,125,5,,111,3352025,861811,715787,2023-10-17,https://covidactnow.org/us/delaware-de,0.885,0.735,0,2169125,0,369899,0.38,,,,,,,,,,0.021,,57,,5.9,,0,206298,0.212
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,,other,,,,,,,,,,0.71,4,4,4,4,4,,1,7572282,88248,8417475,58181372,2600,54297,39772,568,,6203,4435,143,,6937,61526685,17810446,14971549,2023-10-17,https://covidactnow.org/us/florida-fl,0.829,0.697,1109,42267369,4,6583778,0.307,,,,,,,,,,0.01,,1114,,5.2,,0,2521516,0.117
